city,name,price_bucket,rating,tags,url
Negombo,Sun Resort,budget,4.5,overwater|spa|beach|luxury|budget,http://sunresort.com
Jaffna,Lake Retreat,mid,4.9,quiet|central|overwater|wifi|clean,http://lakeretreat.com
Negombo,Sun Retreat,luxury,3.5,central|budget|beach|pool|quiet,http://sunretreat.com
Bentota,Star Villa,budget,3.5,spa|quiet|overwater,http://starvilla.com
Nuwara Eliya,Sun Resort,budget,4.6,spa|wifi|overwater|nature|pool,http://sunresort.com
Negombo,Sun Suites,luxury,4.2,quiet|clean|central|wifi,http://sunsuites.com
Galle,Sea Retreat,luxury,4.2,beach|overwater|spa|quiet|luxury,http://searetreat.com
Colombo,Moon Retreat,luxury,3.7,pool|overwater|breakfast|nature,http://moonretreat.com
Trincomalee,Star Hotel,mid,3.7,quiet|clean|overwater|beach|budget,http://starhotel.com
Maldives,Palm Suites,mid,4.2,quiet|spa|pool|beach,http://palmsuites.com
Colombo,Sea Guesthouse,mid,4.8,nature|luxury|beach|clean,http://seaguesthouse.com
Kandy,Sun Villa,budget,3.7,luxury|budget|nature|pool,http://sunvilla.com
Trincomalee,Sky Suites,luxury,4.7,luxury|breakfast|wifi,http://skysuites.com
Colombo,Sea Retreat,mid,3.7,pool|breakfast|central|beach,http://searetreat.com
Anuradhapura,Moon Hotel,mid,4.1,breakfast|central|quiet|pool,http://moonhotel.com
Negombo,City Inn,mid,4.9,overwater|spa|quiet,http://cityinn.com
Maldives,Moon Hotel,mid,3.9,nature|pool|central|breakfast,http://moonhotel.com
Jaffna,Sky Lodge,budget,3.8,luxury|spa|quiet,http://skylodge.com
Galle,City Lodge,budget,4.5,nature|luxury|clean,http://citylodge.com
Anuradhapura,Sea Inn,budget,4.2,spa|pool|beach|quiet,http://seainn.com
Nuwara Eliya,Star Suites,luxury,3.8,wifi|luxury|clean,http://starsuites.com
Anuradhapura,Moon Hotel,luxury,4.0,luxury|central|clean|budget,http://moonhotel.com
Kandy,Palm Bungalow,budget,4.5,wifi|pool|beach|luxury,http://palmbungalow.com
Colombo,Sky Inn,mid,3.8,breakfast|quiet|budget|pool|nature,http://skyinn.com
Trincomalee,Sky Lodge,mid,3.6,spa|nature|luxury|budget,http://skylodge.com
Nuwara Eliya,Lake Bungalow,mid,4.4,pool|quiet|luxury|central,http://lakebungalow.com
Negombo,City Hotel,luxury,4.0,overwater|beach|clean|breakfast,http://cityhotel.com
Galle,Palm Suites,budget,4.3,quiet|pool|wifi,http://palmsuites.com
Kandy,City Resort,budget,4.4,wifi|luxury|overwater|spa,http://cityresort.com
Galle,Sea Lodge,luxury,3.6,nature|pool|overwater,http://sealodge.com
Trincomalee,Hill Villa,budget,4.4,nature|beach|luxury|pool,http://hillvilla.com
Galle,Sky Lodge,luxury,4.8,spa|pool|central,http://skylodge.com
Nuwara Eliya,Sun Inn,budget,4.0,quiet|pool|luxury|central|wifi,http://suninn.com
Trincomalee,Palm Hotel,luxury,4.5,spa|beach|luxury|quiet|breakfast,http://palmhotel.com
Jaffna,Moon Guesthouse,mid,4.7,wifi|overwater|clean|beach|quiet,http://moonguesthouse.com
Kandy,Lake Villa,mid,4.6,beach|central|breakfast,http://lakevilla.com
Galle,Sea Villa,luxury,4.3,overwater|beach|nature,http://seavilla.com
Anuradhapura,Coral Lodge,luxury,4.5,central|spa|overwater|beach,http://corallodge.com
Jaffna,Sea Bungalow,mid,3.8,luxury|budget|spa|pool|beach,http://seabungalow.com
Trincomalee,City Hotel,budget,4.2,clean|wifi|budget|pool,http://cityhotel.com
Nuwara Eliya,Sun Bungalow,budget,4.0,luxury|pool|budget|nature,http://sunbungalow.com
Anuradhapura,Sun Retreat,budget,3.9,budget|spa|pool|nature|overwater,http://sunretreat.com
Trincomalee,Star Bungalow,luxury,4.0,overwater|luxury|clean,http://starbungalow.com
Negombo,Lake Villa,mid,4.8,pool|breakfast|clean,http://lakevilla.com
Nuwara Eliya,Palm Retreat,luxury,3.7,budget|clean|luxury|spa|quiet,http://palmretreat.com
Colombo,City Suites,budget,3.8,wifi|luxury|central|budget|clean,http://citysuites.com
Bentota,Sky Suites,mid,3.6,wifi|breakfast|nature,http://skysuites.com
Kandy,Sky Inn,mid,4.0,beach|overwater|nature,http://skyinn.com
Jaffna,Coral Inn,mid,3.6,spa|wifi|luxury,http://coralinn.com
Anuradhapura,Coral Resort,budget,3.7,overwater|beach|pool,http://coralresort.com
Anuradhapura,City Retreat,mid,4.1,budget|nature|central,http://cityretreat.com
Nuwara Eliya,Moon Lodge,mid,5.0,wifi|breakfast|beach|central,http://moonlodge.com
Nuwara Eliya,City Villa,mid,4.6,quiet|nature|overwater,http://cityvilla.com
Galle,Lake Villa,luxury,4.4,beach|overwater|budget,http://lakevilla.com
Galle,Sun Bungalow,mid,3.7,overwater|wifi|pool,http://sunbungalow.com
Nuwara Eliya,Moon Resort,mid,3.9,wifi|breakfast|nature,http://moonresort.com
Colombo,Palm Retreat,mid,4.6,wifi|budget|quiet,http://palmretreat.com
Trincomalee,City Villa,luxury,3.6,spa|wifi|breakfast|nature,http://cityvilla.com
Maldives,Palm Lodge,budget,4.0,central|nature|budget|beach|wifi,http://palmlodge.com
Colombo,Sky Bungalow,mid,3.6,breakfast|luxury|beach|overwater|budget,http://skybungalow.com
Bentota,City Guesthouse,budget,4.0,central|nature|luxury|overwater|breakfast,http://cityguesthouse.com
Anuradhapura,Coral Lodge,mid,4.3,overwater|luxury|budget,http://corallodge.com
Colombo,Hill Hotel,mid,4.4,overwater|breakfast|central|nature|luxury,http://hillhotel.com
Bentota,Sky Inn,budget,3.7,pool|quiet|luxury|overwater,http://skyinn.com
Maldives,Lake Retreat,mid,4.6,budget|spa|beach|overwater,http://lakeretreat.com
Bentota,Sky Bungalow,mid,3.7,luxury|overwater|clean,http://skybungalow.com
Galle,City Guesthouse,budget,5.0,clean|beach|central|overwater|luxury,http://cityguesthouse.com
Nuwara Eliya,Moon Bungalow,mid,4.4,breakfast|budget|luxury,http://moonbungalow.com
Negombo,Sea Suites,luxury,4.0,beach|clean|central,http://seasuites.com
Kandy,Sun Suites,budget,4.3,spa|beach|overwater|wifi|central,http://sunsuites.com
Jaffna,Palm Lodge,mid,4.6,clean|quiet|luxury|breakfast,http://palmlodge.com
Negombo,Sky Inn,budget,4.1,clean|spa|pool,http://skyinn.com
Colombo,Hill Hotel,budget,5.0,luxury|breakfast|pool|central|wifi,http://hillhotel.com
Maldives,Coral Resort,budget,4.1,wifi|beach|pool|budget,http://coralresort.com
Colombo,Coral Bungalow,luxury,4.1,overwater|quiet|spa|pool|budget,http://coralbungalow.com
Maldives,Sun Guesthouse,budget,4.8,central|breakfast|budget,http://sunguesthouse.com
Jaffna,Sea Retreat,luxury,4.7,clean|central|pool,http://searetreat.com
Bentota,Star Suites,budget,3.5,breakfast|overwater|quiet|clean,http://starsuites.com
Jaffna,Moon Suites,mid,3.9,spa|budget|overwater,http://moonsuites.com
Galle,Palm Bungalow,mid,3.8,wifi|beach|clean|nature,http://palmbungalow.com
Trincomalee,Coral Villa,mid,4.1,spa|overwater|budget|pool|nature,http://coralvilla.com
Negombo,Sky Inn,budget,4.2,clean|spa|central,http://skyinn.com
Jaffna,Star Lodge,budget,4.9,breakfast|spa|nature|quiet|pool,http://starlodge.com
